model_id,canonical_field,source_field,raw_value,transform,status,reason
Qwen/Qwen3-30B-A3B-Instruct-2507,active_expert_count,config.num_experts_per_tok,8,identity,available,
Qwen/Qwen3-30B-A3B-Instruct-2507,head_dim,config.head_dim,128,identity,available,
Qwen/Qwen3-30B-A3B-Instruct-2507,dense_layer_count,benchmark.architecture + config.num_hidden_layers,"{""architecture"": ""MoE"", ""num_hidden_layers"": 48}",architecture-specific layer split,available,
Qwen/Qwen3-30B-A3B-Instruct-2507,moe_layer_count,benchmark.architecture + config.num_hidden_layers,"{""architecture"": ""MoE"", ""num_hidden_layers"": 48}",architecture-specific layer split,available,
Qwen/Qwen3-30B-A3B-Instruct-2507,hybrid_pattern,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-30B-A3B-Instruct-2507,hybrid_mamba_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-30B-A3B-Instruct-2507,hybrid_attention_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-30B-A3B-Instruct-2507,hybrid_mlp_layer_count,,,identity,missing,not a declared hybrid pattern
Qwen/Qwen3-30B-A3B-Instruct-2507,attention_variant,config.model_type + attention head fields,"{""model_type"": ""qwen3_moe"", ""num_attention_heads"": 32, ""num_key_value_heads"": 4}",architecture rule,available,
Qwen/Qwen3-30B-A3B-Instruct-2507,mlp_structure,config.model_type,"""qwen3_moe""",declarative architecture rule,available,
Qwen/Qwen3-30B-A3B-Instruct-2507,quant_method_config,,,identity,missing,config has no quantization method
Qwen/Qwen3-30B-A3B-Instruct-2507,runtime_dtype_config,config.torch_dtype,"""bfloat16""",identity,available,
Qwen/Qwen3-30B-A3B-Instruct-2507,runtime_dtype_bits,config.torch_dtype,"""bfloat16""",dtype label to bits,available,
Qwen/Qwen3-30B-A3B-Thinking-2507,architecture_family,benchmark.architecture,"""MoE""",benchmark architecture taxonomy,available,
Qwen/Qwen3-30B-A3B-Thinking-2507,total_params_billions,benchmark.total_params_billions,30.0,identity,available,
Qwen/Qwen3-30B-A3B-Thinking-2507,activated_params_billions,benchmark.activated_params_billions,3.0,identity,available,
